ISIN;FONDO;DIVISA;CLASE DE ACTIVO;ESG;RENT. YTD;VOL 3A;FICHA
LU1279334210;Pictet Robotics;Euro;Technology Sector Equity;Article 8;7,08%;18,89%;https://api.fundinfo.com/document/dd048813b34d58b1cc13343191ed6956_266504/MR_ES_es_LU1279334210_YES_2023-04-28.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
IE00BHPRMV90;BNY Mellon Blockchain Innovation;Euro;Technology Sector Equity;Article 8;22,57%;20,44%;https://api.fundinfo.com/document/d6ec31ca3609a3d81f061f6b92398dcf_139781/MR_ES_es_IE00BHPRMV90_RES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU1861215389;BlackRock Future of Transport;Euro;Technology Sector Equity;Article 9;29,91%;-;https://api.fundinfo.com/document/371eb0b350007bb23e1bb8cf3ad4aeb8_225516/MR_ES_es_LU1861215389_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0270904781;Pictet Security;Euro;Global Equity Large Cap;Article 8;30,42%;26,52%;https://api.fundinfo.com/document/f4869c37f48491df18965f22b735fdf1_279361/MR_ES_es_LU0270904781_YES_2023-04-28.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU1213836080;Fidelity Global Technology;Euro;Technology Sector Equity;Article 8;13,68%;26,07%;https://api.fundinfo.com/document/8726dc2581f724bf549b23577835776b_412863/MR_ES_es_LU1213836080_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0171310443;BlackRock World Technology;Euro;Technology Sector Equity;Article 8;19,14%;34,01%;https://api.fundinfo.com/document/8d006d42ce95630ef76c48a109632c44_271523/MR_ES_es_LU0171310443_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0260870158;Franklin Technology;Euro;Technology Sector Equity;Article 8;2,36%;17,25%;https://api.fundinfo.com/document/0992222e2c0bc51c5db409b38449abf5_228603/MR_ES_es_LU0260870158_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0210532015;JPM Europe Technology;Euro;Technology Sector Equity;Article 8;-0,66%;16,02%;https://api.fundinfo.com/document/313952d0465911c7dd9b96ee887a4056_398344/MR_ES_es_LU0210532015_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU1861216510;BlackRock Next Generation Technology;Euro;Technology Sector Equity;Article 8;6,38%;18,22%;https://api.fundinfo.com/document/4be601efc703ba5b18a1fa50d9e9c7eb_234030/MR_ES_es_LU1861216510_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0366534344;Pictet - Nutrition;Euro;Equity Miscellaneous;Article 9;19,65%;35,64%;https://api.fundinfo.com/document/aabd20e80ab4f6bd862638bdfeb9945e_270899/MR_ES_es_LU0366534344_YES_2023-04-28.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0566417696;March Vini Catena;Euro;Equity Miscellaneous;Not Stated;-10,19%;20,16%;https://docs.march-am.com/sources/morningstar/FC_E_LU0566417696_EUR.pdf
LU1931535931;Allianz Pet and Animal Wellbeing;Euro;Equity Miscellaneous;Not Stated;1,08%;0,40%;https://api.fundinfo.com/document/0d595998e65ae39b0caf4762c0fbc12b_262226/MR_ES_es_LU1931535931_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
ES0157638000;Gvc Gaesco 300 Places Worldwide;Euro;Consumer Goods & Services Sector Equity;Not Stated;1,13%;0,57%;https://www.inversis.com/fondos/contenidos/ficha/ES0157638000_ficha_es.pdf
LU0984246958;GAM Commodity;Euro;Commodities Broad Basket;Not Stated;0,98%;0,31%;https://api.fundinfo.com/document/d5e1ee9e915d761b46fd6d07de5efd4b_207546/MR_ES_es_LU0984246958_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
ES0128520006;Renta 4 Monetario FI;Euro;Euro Money Market;Article 8;1,40%;0,81%;https://lt.morningstar.com/xgnfa0k0aw/snapshotpdf/default.aspx?LanguageId=es-ES&Id=F00000410P&ClientFund=1&SecurityToken=F00000410P]2]1]FOEUR$$ALL_522&CurrencyId=EUR&BaseCurrencyId=EUR
FR0011365212;Amundi Ultra Short Term Bond;Euro;Europe Fixed Income;Article 8;1,80%;-;https://api.fundinfo.com/document/961195dcadc635f5b0d05e630a2b7f96_1658477/MR_ES_es_FR0011365212_RES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0366536711;Pictet - Sovereign Short-Term Money Market EUR;Euro;Euro Money Market;Article 8;1,56%;0,39%;https://api.fundinfo.com/document/e9d6ce073381b7b8afaaf832630e934f_125042/MR_ES_es_LU0366536711_YES_2023-04-28.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
FR0013346079;Groupama Ultra Short Term Bond;Euro;Europe Fixed Income;Article 8;1,71%;3,64%;https://api.fundinfo.com/document/116bd583a89fe449c51d35c747e4ab5c_398445/MR_ES_es_FR0013346079_YES_2022-02-28.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU1873132101;JPMorgan - USD Treasury;US Dollar;US Money Market;Not Stated;0,46%;3,20%;https://api.fundinfo.com/document/c07648c3b8d41290ee018a99b3b7b407_77618/PRP_ES_en_LU1873132101_YES_2023-05-29.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0049015760;Aberdeen Sterling Fund;Pound Sterling;Sterling Money Market;Not Stated;1,16%;0,62%;https://api.fundinfo.com/document/49245c45ade7528c1c208aaacb2b5aa9_145592/MR_ES_es_LU0049015760_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
ES0176954008;Renta 4 Renta Fija Corto Plazo;Euro;Europe Fixed Income;Article 8;1,22%;2,15%;https://api.fundinfo.com/document/8cfb43542ea15eee59e7dcbfe9289654_406045/MR_ES_es_ES0176954008_YES_2023-03-31.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
FR0010149120;Carmignac Securite;Euro;Europe Fixed Income;Article 8;2,93%;1,30%;https://api.fundinfo.com/document/7431f96f8fb0bf86acd2b310ded84fe4_205605/MR_ES_es_FR0010149120_YES_2023-04-28.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
ES0138922036;Gesconsult Corto Plazo;Euro;Europe Fixed Income;Not Stated;1,84%;2,88%;https://api.fundinfo.com/document/8a914a757261527cd6a80d013187a918_358206/MR_ES_es_ES0138922036_YES_2021-08-31.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0093503810;BlackRock Euro Short Duration Bond;Euro;Europe Fixed Income;Not Stated;2,82%;7,33%;https://api.fundinfo.com/document/cbaa4599b2c3a8bc0c88db7232df55ed_282009/MR_ES_es_LU0093503810_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU1209509089;UBAM - Dynamic US Dollar Bond;Euro;US Fixed Income;Article 8;0,57%;1,35%;https://api.fundinfo.com/document/bba69242941c067bd90e063ac0f44c8b_648050/MR_ES_es_LU1209509089_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU1162222563;Franklin US Low Duration;Euro;US Fixed Income;Not Stated;1,28%;5,48%;https://api.fundinfo.com/document/dc63e80f6c5978b3d1ca785c2fee2aaf_224935/MR_ES_es_LU1162222563_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0367640660;Epsilon Euro Bond;Euro;Europe Fixed Income;Article 8;1,82%;5,49%;https://api.fundinfo.com/document/1322d4ea3cf89f033c8172e76ed98b40_379683/MR_ES_es_LU0367640660_RES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0336683411;DPAM L - Bonds Government Sustainable;Euro;Global Fixed Income;Article 9;1,81%;6,49%;https://api.fundinfo.com/document/66a10e1b0940726da7d12c0c752cc144_332330/MR_ES_es_LU0336683411_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0408877842;JPMorgan Euro Government Short Duration Bond;Euro;Europe Fixed Income;Article 8;0,27%;7,88%;https://api.fundinfo.com/document/b414fbf2e11f3c91682a21948fe42a5a_386123/MR_ES_es_LU0408877842_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0549537040 ;BlueBay Investment Grade Euro Government Bond;Euro;Europe Fixed Income;Article 8;1,75%;6,58%;https://api.fundinfo.com/document/01e6c3f349289e448d15f2b7c2cf83a4_191152/MR_ES_es_LU0549537040_YES_2023-04-28.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0219442547;MFS US Government Bond Fund;US Dollar;US Fixed Income;Not Stated;1,96%;6,10%;https://api.fundinfo.com/document/0bb335eac6c02890da5a718ea25550fc_161113/MR_ES_es_LU0219442547_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0128488383;Pictet USD Government Bonds;US Dollar;US Fixed Income;Not Stated;-0,45%;1,06%;https://api.fundinfo.com/document/1e68c8aa415e46e081e39e62ed20eeea_163720/MR_ES_es_LU0128488383_YES_2023-04-28.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0048622798;Fidelity US Dollar Bond Fund;US Dollar;US Fixed Income;Article 8;0,13%;4,28%;https://api.fundinfo.com/document/ceba25c1bb2ed9cfc6d5cb5d23b8354b_510488/MR_ES_es_LU0048622798_RES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0157931550;Candriam Bonds Global Government ;Euro;Global Fixed Income;Article 8;4,10%;7,49%;https://api.fundinfo.com/document/24d91ddeec2a31fadf54414bddd9abd7_844615/MR_ES_es_LU0157931550_RES_2023-04-28.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0153585996;Vontobel EUR Corporate Bond Mid Yield;Euro;Europe Fixed Income;Article 8;2,28%;5,50%;https://api.fundinfo.com/document/969c81e575d8a648edd728a94523853e_107728/MR_ES_es_LU0153585996_YES_2023-04-28.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0243957825;Invesco Euro Corporate Bond;Euro;Europe Fixed Income;Article 8;1,38%;7,07%;https://api.fundinfo.com/document/eeda831f68531349567ecbe1f0b538ed_1892793/MR_ES_es_LU0243957825_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU1694212348;Nordea Low Duration European Covered Bond;Euro;Europe Fixed Income;Article 8;2,04%;8,68%;https://api.fundinfo.com/document/075f695ccbb4a08af0d426581bd302bb_583578/MR_ES_es_LU1694212348_YES_2023-04-28.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0076315455;Nordea - European Covered Bond;Euro;Europe Fixed Income;Article 8;2,16%;6,86%;https://api.fundinfo.com/document/4513a9476b74792caf6a2c70a2ce391f_626497/MR_ES_es_LU0076315455_YES_2023-04-28.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0012119607;Candriam Bonds Euro High Yield;Euro;Europe Fixed Income;Article 8;2,28%;11,94%;https://api.fundinfo.com/document/7d8ceb967dbf85637607cc3a447d9305_815210/MR_ES_es_LU0012119607_RES_2023-04-28.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0146924799;UBAM Corporate US Dollar Bond;US Dollar;US Fixed Income;Article 8;4,28%;8,59%;https://lt.morningstar.com/xgnfa0k0aw/snapshotpdf/default.aspx?LanguageId=es-ES&Id=F0GBR053YT&ClientFund=1&SecurityToken=F0GBR053YT]2]1]FOEUR$$ALL_522&CurrencyId=EUR&BaseCurrencyId=USD
IE00B11XZ434;PIMCO GIS Global Investment Grade Credit;Euro;Global Fixed Income;Not Stated;2,96%;5,69%;https://api.fundinfo.com/document/627567359fcfb21e7f5d1d86144bbb53_231203/MR_ES_es_IE00B11XZ434_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0546920488;NN L US Credit;US Dollar;US Fixed Income;Not Stated;3,76%;7,29%;https://api.fundinfo.com/document/930133b60b8df00cbbd7eb0a84a6da20_210775/MR_ES_es_LU0546920488_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0622663176;Robeco Financial Institutions Bonds;Euro;Europe Fixed Income;Article 8;2,77%;3,60%;https://api.fundinfo.com/document/3be51665199c86c27ffd1728d7dab35d_259196/MR_ES_es_LU0622663176_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0765419576 ;SKY Harbor - U.S. Short Duration Sust. High Yield;Euro;US Fixed Income;Article 8;3,05%;4,21%;https://api.fundinfo.com/document/9e89a6fbc325d25ade96b6d8743b6e69_475434/MR_ES_en_LU0765419576_RES_2022-09-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
IE00B11XZ871;PIMCO GIS US High Yield Bond;US Dollar;US Fixed Income;Not Stated;0,69%;3,10%;https://api.fundinfo.com/document/237febff1275e2db1b9099c49b705b23_225941/MR_ES_es_IE00B11XZ871_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
IE00B50VYD81;Salar Fund;Euro;Convertibles;Article 8;-1,68%;5,46%;https://www.inversis.com/fondos/contenidos/ficha/IE00B50VYD81_ficha_en.pdf
LU0170291933;Candriam Bonds Global High Yield;Euro;Global Fixed Income;Article 8;2,07%;7,15%;https://api.fundinfo.com/document/c2d0eb5a3a81035a2e7d9d2af9698c95_679553/MR_ES_es_LU0170291933_RES_2023-04-28.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
FI0008800511;Evli Short Corporate Bond;Euro;Europe Fixed Income;Article 8;0,97%;6,18%;https://api.fundinfo.com/document/681858614012c321665d69b65fee1c33_466052/MR_ES_en_FI0008800511_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
FI0008811997  ;Evli Nordic Corporate Bond;Euro;Europe Fixed Income;Article 8;3,52%;-;https://api.fundinfo.com/document/7c6ca3444be6fa3169ce3883d4153383_450375/MR_ES_en_FI0008811997_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0517222054;DPAM Bonds EUR High Yield Short Term;Euro;Europe Fixed Income;Article 8;1,56%;5,73%;https://api.fundinfo.com/document/50d8e64bd868ee96ca46717518960ef9_327311/MR_ES_es_LU0517222054_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
IE00B65YMK29;Muzinich EnhancedYield Short-Term;Euro;Global Fixed Income;Article 8;1,87%;6,28%;https://api.fundinfo.com/document/0d93872d5ad2a0ce347455c8aa1b9588_660643/MR_ES_es_IE00B65YMK29_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0170473374  ;Franklin European Total Return;Euro;Europe Fixed Income;Article 8;0,48%;13,20%;https://api.fundinfo.com/document/8e65725fb3d4604cf9790062cb6861f2_227594/MR_ES_es_LU0170473374_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU1161526576;Edmond de Rothschild -Bond Allocation;Euro;Europe Fixed Income;Article 8;1,15%;10,11%;https://api.fundinfo.com/document/923952f36d556cd3a81d1f200b0b6231_920801/MR_ES_es_LU1161526576_YES_2023-04-28.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0853555380;Jupiter Dynamic Bond;Euro;Global Fixed Income;Not Stated;0,04%;8,31%;https://api.fundinfo.com/document/c021714ee5623675aa0f969aa1c7fb37_143988/MR_ES_es_LU0853555380_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
IE00B84J9L26;PIMCO GIS Income;Euro;Global Fixed Income;Not Stated;-0,08%;3,33%;https://api.fundinfo.com/document/9b4c985ceb619d48a6ffd90427ccca2e_238212/MR_ES_es_IE00B84J9L26_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU2278574988;Buy & Hold Bond;Euro;Europe Fixed Income;Not Stated;1,80%;0,80%;https://lt.morningstar.com/xgnfa0k0aw/snapshotpdf/default.aspx?LanguageId=es-ES&Id=F000016S7A&ClientFund=1&SecurityToken=F000016S7A]2]1]FOEUR$$ALL_522&CurrencyId=EUR&BaseCurrencyId=EUR
FR0013202132;Sextant Bond Picking;Euro;Europe Fixed Income;Article 8;2,60%;-;https://api.fundinfo.com/document/eddeb5a328d0d00483440de54bfd19f5_672600/MR_ES_es_FR0013202132_YES_2023-02-28.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0322549691;Goldman Sachs Global Fixed Income Plus Ptf Hedged;Euro;Global Fixed Income;Article 8;1,24%;-;https://api.fundinfo.com/document/8e81669c6049476589c3d6b95d4a7d3c_166324/MR_ES_es_LU0322549691_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU1883849199;Amundi Pioneer U.S. Dollar Aggregate Bond;Euro;US Fixed Income;Article 8;2,98%;-;https://api.fundinfo.com/document/981b39eeb925c8dc0f35b16872132480_1246216/MR_ES_es_LU1883849199_RES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0106260564;Schroder USD Dollar Bond;US Dollar;US Fixed Income;Article 8;6,35%;11,03%;https://api.fundinfo.com/document/9784ffc01afe3172a0e40ef3900ec029_502580/MR_ES_es_LU0106260564_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0803752129;BlackRock China Bond;Euro;Asia Fixed Income;Not Stated;1,36%;12,60%;https://api.fundinfo.com/document/24046de673f7a4aaaef8647546e96d58_211832/MR_ES_es_LU0803752129_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
FR0010696617;Groupama Index Inflation Monde;Euro;Global Fixed Income;Article 8;0,69%;7,99%;https://api.fundinfo.com/document/41d89d93097a1db8583dc49d6cdfe237_433665/MR_ES_es_FR0010696617_YES_2022-02-28.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU1353951376;AXA Global Inflation Short Duration Bonds;Euro;Global Fixed Income;Article 8;1,29%;0,59%;https://api.fundinfo.com/document/225000f05621d2ab638e8f6796f3e2df_422601/MR_ES_es_LU1353951376_YES_2023-04-28.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0034353002;DWS Floating Rate Notes;Euro;Europe Fixed Income;Article 8;3,25%;9,94%;https://api.fundinfo.com/document/a8b8093db8c394e0b257ae9187a68fef_207451/MR_ES_es_LU0034353002_YES_2023-04-28.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
FR001400CC99;Lazard Credit 2027 ;Euro;Fixed Income Miscellaneous;Article 8;2,14%;4,44%;https://api.fundinfo.com/document/eaf201fba5a83768773971b5ed4618c0_118436/PRP_ES_en_FR001400CC99_YES_2022-12-23.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
FR0012537348;Tikehau Global Credit 2025 ;Euro;Fixed Income Miscellaneous;Article 8;2,63%;7,23%;https://api.fundinfo.com/document/875038df3b92ac4004a743d97cacadb3_130918/KID_ES_en_FR0012537348_YES_2022-10-26.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
FR0014008W22;EdR Millesima World 2028;Euro;Fixed Income Miscellaneous;Article 8;-1,37%;3,03%;https://api.fundinfo.com/document/cc51424de8c68e670746d85ebc2b812d_337963/PRP_ES_en_FR0014008W22_YES_2023-01-01.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0752071745;Vontobel Sustainable EM Local Curr. Bond;Euro;Emerging Markets Fixed Income;Article 8;5,13%;5,41%;https://api.fundinfo.com/document/2cabd0962ddd5ebd355122d33275a70f_100290/MR_ES_es_LU0752071745_YES_2023-04-28.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
IE00B986FT65;Neuberger Berman EM Debt - Hard Currency;Euro;Emerging Markets Fixed Income;Article 8;1,52%;0,78%;https://api.fundinfo.com/document/5a60ed9f78223f0a49dab421d0102392_161723/MR_ES_es_IE00B986FT65_YES_2023-04-28.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0622306818;Goldman Sachs EM Corporate Bond Ptf;Euro;Emerging Markets Fixed Income;Article 8;2,98%;3,66%;https://api.fundinfo.com/document/be53c2d5207ed09f0c6464fefd501cc5_157996/MR_ES_es_LU0622306818_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0571102010;G FUND Alpha Fixed Income;Euro;Europe Fixed Income;Article 8;2,10%;5,59%;https://api.fundinfo.com/document/662992f22d118bc601c597f80046d754_374135/MR_ES_es_LU0571102010_YES_2022-02-28.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU1694789451;DNCA Invest - Alpha Bonds;Euro;Global Fixed Income;Article 8;-1,20%;5,48%;https://api.fundinfo.com/document/0f5b11368656876b6c3f26eef61b308d_308502/MR_ES_es_LU1694789451_YES_2023-04-28.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU1542977829;BlueBay Global Sovereign Opportunities Fund;Euro;Global Fixed Income;Article 8;1,93%;6,37%;https://lt.morningstar.com/xgnfa0k0aw/snapshotpdf/default.aspx?LanguageId=es-ES&Id=F00000YMLS&ClientFund=1&SecurityToken=F00000YMLS]2]1]FOEUR$$ALL_522&CurrencyId=EUR&BaseCurrencyId=EUR
IE00B5B29K21;GAM Star Emerging Market Rates;Euro;Global Macro;Not Stated;2,05%;2,51%;https://api.fundinfo.com/document/dc235546b4afe27c8dda497c05b4aa50_269815/MR_ES_es_IE00B5B29K21_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0494761835;Bellevue Global Macro;Euro;Global Macro;Article 8;-3,71%;10,90%;https://api.fundinfo.com/document/14cb0814b535ab782c38c2c517bdb128_577458/MR_ES_en_LU0494761835_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU1829331633;Threadneedle Credit Opportunities;Euro;Global Fixed Income;Not Stated;1,80%;9,95%;https://api.fundinfo.com/document/419cf9ef72bf3b9be64ad07f619c5fbf_438809/MR_ES_es_LU1829331633_RES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0599946893;DWS Concept Kaldemorgen;Euro;Flexible Allocation;Article 8;3,81%;22,65%;https://api.fundinfo.com/document/2881d850708d29b1dc1ce504dece4d62_295043/MR_ES_es_LU0599946893_YES_2023-04-28.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
ES0175437005;Dunas Valor Prudente;Euro;Multialternative;Article 8;3,68%;4,09%;https://api.fundinfo.com/document/e5c2fe160e4a45ac90ee9b2aa5587450_332866/MR_ES_es_ES0175437005_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
ES0175414012;Dunas Valor Equilibrio FI;Euro;Multialternative;Article 8;-4,19%;13,32%;https://api.fundinfo.com/document/7620f064fd75b88ae807351eb5910e37_396968/MR_ES_es_ES0175414012_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
IE00BLP5S460;Jupiter Global Equity Absolute Return Fund;Euro;Market Neutral;Not Stated;-1,61%;8,67%;https://api.fundinfo.com/document/5a433b844ddbac170c0754d68daa8dbe_395355/MR_ES_es_IE00BLP5S460_RES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0725892466;BlackRock Americas Diversified Equity Abs. Return;Euro;Market Neutral;Not Stated;3,28%;7,67%;https://api.fundinfo.com/document/ad0318e0cc49e7cb8ba968eb70807eed_253016/MR_ES_es_LU0725892466_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0411704413;BlackRock European Absolute Return;Euro;Market Neutral;Not Stated;2,45%;6,13%;https://api.fundinfo.com/document/464aa951a991ce82bd13c1e1114e2cd2_265879/MR_ES_es_LU0411704413_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
IE00B7V30396;BMO Real Estate Equity Market Neutral;Euro;Market Neutral;Not Stated;0,97%;4,92%;https://api.fundinfo.com/document/849ee792ec9ea4746a51298f40016f5b_106195/KID_ES_es_IE00B7V30396_YES_2018-11-09.pdf?apiKey=c40484362dd5dc96f243495241a0740a
LU0687943661;GAMCO Merger Arbitrage;Euro;Market Neutral;Not Stated;3,42%;7,95%;https://api.fundinfo.com/document/0e7afcb8ed6eec41282583cb3a05d01d_203656/MR_ES_es_LU0687943661_RES_2021-09-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU1433232854;Pictet Atlas;Euro;Long/Short Equity;Not Stated;-0,39%;4,72%;https://api.fundinfo.com/document/cabdc4922e0cc3fd93c05d6783399f5f_123525/MR_ES_es_LU1433232854_YES_2023-04-28.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU1048657123;Fidelity Fast Global ;Euro;Global Equity Mid/Small Cap;Not Stated;2,14%;6,81%;https://api.fundinfo.com/document/94026ab95aa00189af6d71cc243896e6_474748/MR_ES_es_LU1048657123_RES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU0496443887;Pictet Mandarin;Euro;Long/Short Equity;Not Stated;12,43%;10,92%;https://api.fundinfo.com/document/ecb312ccebe2f4baca3389348a7ed5c3_113875/MR_ES_es_LU0496443887_YES_2023-04-28.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
LU1331971769;Eleva Absolute Return Europe;Euro;Long/Short Equity;Article 8;4,50%;6,15%;https://lt.morningstar.com/xgnfa0k0aw/snapshotpdf/default.aspx?LanguageId=es-ES&Id=F00000ZEXG&ClientFund=1&SecurityToken=F00000ZEXG]2]1]FOEUR$$ALL_522&CurrencyId=EUR&BaseCurrencyId=EUR
IE00BLG2W007;Liontrust Europe Strategic Equity;Euro;Long/Short Equity;Not Stated;4,54%;6,91%;https://lt.morningstar.com/xgnfa0k0aw/snapshotpdf/default.aspx?LanguageId=es-ES&Id=F00000TEO5&ClientFund=1&SecurityToken=F00000TEO5]2]1]FOEUR$$ALL_522&CurrencyId=EUR&BaseCurrencyId=EUR
FR0010996736;La française Protectaux;Euro;Miscellaneous;Not Stated;6,25%;9,00%;https://api.fundinfo.com/document/f25af585e873c1a1c97f92ea54cf207e_557133/MR_ES_es_FR0010996736_YES_2023-04-30.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
ES0116567035;Cartesio X;Euro;Cautious Allocation;Not Stated;4,62%;7,68%;https://api.fundinfo.com/document/f559d1178e28ac02c4cec9960ce4f82a_120151/MR_ES_es_ES0116567035_YES_2022-10-31.pdf?apiKey=2077cd04-8cd9-4f30-8c0b-b5cebc11240f
